#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
250	4	4	優しい	yasashii	gentle, kind	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
251	4	5	晴れる	hareru	be sunny, clear up	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
252	4	5	汚い	kitanai	dirty	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
253	4	5	茶色	chairo	brown	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
254	4	5	空く	suku	be empty, become less crowded	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
255	4	5	上る	noboru	go up, climb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
256	4	5	ご飯	gohan	meal, cooked rice	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
257	4	5	日	nichi	counter for days	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
258	4	5	髪の毛	kaminoke	hair, each single hair	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
259	4	5	つける	tsukeru	switch on, turn on	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
260	4	5	月曜日	getsuyoubi	Monday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
261	4	6	入る	hairu	enter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
263	4	6	今週	konshuu	this week	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
264	4	6	開く	hiraku	open (books, eyes, etc.)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
265	4	6	水	mizu	water	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
268	4	6	締める	shimeru	tighten, fasten	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
270	4	6	平仮名	hiragana	hiragana	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
271	4	7	曇る	kumoru	become cloudy	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
272	4	7	触る	sawaru	touch, feel	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
273	4	7	駄目	dame	no good	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
274	4	7	飲み物	nomimono	beverage, drink	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
275	4	7	木曜日	mokuyoubi	Thursday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
279	4	7	火曜日	kayoubi	Tuesday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
280	4	7	渇く	kawaku	be thirsty	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
282	5	1	水曜日	suiyoubi	Wednesday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
283	5	1	二つ	futatsu	two (things)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
284	5	1	今晩	konban	this evening, tonight	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
285	5	1	千	sen	thousand	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
286	5	1	六日	muika	six days, sixth of the month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
287	5	1	お姉さん	onesan	older sister	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
288	5	1	直る	naoru	be repaired, get fixed	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
292	5	2	考える	kangaeru	think, consider	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
293	5	2	戻る	modoru	return to a point of departure	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
294	5	2	変える	kaeru	change (something), alter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
295	5	2	朝	asa	morning	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
296	5	2	歯	ha	tooth	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
297	5	2	頑張る	ganbaru	work hard, do one’s best	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
298	5	2	携帯電話	keitaidenwa	cellular phone	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
299	5	2	雨	ame	rain	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
300	5	2	金	kane	money (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
301	5	3	易しい	yasashii	easy, simple (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
302	5	3	お兄さん	oniisan	older brother	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
303	5	3	大きい	ooki	big	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
305	5	3	辛い	karai	spicy, hot	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
308	5	3	来る	kuru	come	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
309	5	3	前	mae	front, before	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
310	5	3	五日	itsuka	five days, fifth of the month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
311	5	4	いっぱい	ippai	full	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
313	5	4	酸っぱい	suppai	sour	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
314	5	4	違う	chigau	differ, be wrong	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
315	5	4	細い	hosoi	thin, slender	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
316	5	4	三つ	mittsu	three (things)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
317	5	4	八日	youka	eight days, eighth of the month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
318	5	4	高校生	koukousei	high school student	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
319	5	4	上手	jouzu	good, skilled	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
320	5	4	強い	tsuyoi	strong	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
322	5	5	二十日	hatsuka	20 days, 20th of the month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
324	5	5	二日	futsuka	two days, second of the month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
325	5	5	四つ	yottsu	four (things)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
326	5	5	暖かい	atatakai	warm	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
328	5	5	いい	ii	good (informal/spoken form)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
329	5	5	上	ue	up, above	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
330	5	5	駅	eki	train station	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
331	5	6	美味しい	oishii	tasty	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
332	5	6	昨日	kinou	yesterday (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
333	5	6	綺麗	kirei	pretty, clean	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
335	5	6	九つ	kokonotsu	nine (things)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
